模型,RMSE,MAE,MAPE_pct,R2,NSE,最大误差
persistence(明日=今日),0.35591625421236045,0.2591702840186259,36.71849963033128,0.46321223599967787,0.46321223599967787,1.6639905707470461
线性回归(同特征),0.2731518751748233,0.200373994106387,23.838848043006504,0.6838338753730058,0.6838338753730058,1.1482643209031833
岭回归(α=1),0.27076344297394034,0.19603070479225093,23.418353098846474,0.6893387973889149,0.6893387973889149,1.1806015951096167
"从零GBM(200棵,depth3)",0.3642564191295717,0.29220335888031984,55.88817465059302,0.43776045134684316,0.43776045134684316,0.996655502839858
XGBoost(默认),0.3083418549104192,0.2512705193856828,45.23221242361469,0.5971235099474367,0.5971235099474367,0.9602650427514163
XGBoost(调参后),0.2947111007095363,0.238992120120086,43.263887035894555,0.6319558218124957,0.6319558218124957,1.0113286995583621
消融:−自回归族,0.3173554538113446,0.26910204211256816,49.676084749559955,0.5767502851498851,0.5767502851498851,0.9004761004143802
消融:−降雨族,0.27370370526070315,0.2114510904872899,36.81742333226936,0.6825551273176386,0.6825551273176386,1.035587313144788
消融:−库水位族,0.29861659583222094,0.24583813222084624,45.58917409273338,0.6221365861137271,0.6221365861137271,0.9985064291649905
消融:仅环境(无自回归/水平),0.44363836978747145,0.3979246105822029,72.56307541612567,0.1728906250692902,0.1728906250692902,0.9318556386424461
XGBoost+物理单调约束,0.29653671857011704,0.24244916661485294,44.969547558455346,0.6273819246988249,0.6273819246988249,0.9991388344460574
